,CustomerID,Age,Gender,Geography,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Customervalue,TenureGroup,AgeGroup
0,100000,56,Male,Spain,10,175263.44,3,1,0,34482.23,0,80450.645,6-10 yrs,46-60
1,100001,69,Male,France,5,67048.76,2,1,1,103441.6,0,57852.484,3-5 yrs,61+
2,100002,46,Male,France,2,248232.69,2,1,0,121302.62,1,135684.262,0-2 yrs,46-60
3,100003,32,Female,France,1,71457.14,1,1,1,28618.75,0,37168.780999999995,0-2 yrs,31-45
4,100004,60,Male,Spain,8,143721.98,2,0,0,94739.22,1,85910.958,6-10 yrs,46-60
5,100005,25,Male,France,7,218088.86,1,1,1,29890.45,1,96202.97899999999,6-10 yrs,18-30
6,100006,38,Female,France,4,72296.53,1,1,1,54300.4,0,45209.032,3-5 yrs,31-45
7,100007,56,Male,Spain,8,151626.33,1,1,0,51826.92,1,76198.80799999999,6-10 yrs,46-60
8,100008,36,Female,France,4,180003.67,1,1,0,137575.17,1,113274.219,3-5 yrs,31-45
9,100009,40,Male,Spain,4,156677.66,1,1,1,48556.08,0,77238.18800000001,3-5 yrs,31-45
10,100010,28,Male,France,10,101491.23,2,1,1,52982.96,0,56491.88,6-10 yrs,18-30
11,100011,28,Male,Germany,10,236188.72,1,1,1,76242.6,0,117348.56800000001,6-10 yrs,18-30
12,100012,41,Male,France,3,153077.49,1,1,1,31038.97,0,70542.98700000001,3-5 yrs,31-45
13,100013,53,Male,Germany,2,56090.06,1,1,0,69604.6,1,43317.604,0-2 yrs,46-60
14,100014,57,Female,France,9,201532.31,3,1,1,96710.5,0,109626.774,6-10 yrs,46-60
15,100015,41,Male,France,8,163969.59,2,1,1,40313.47,0,77682.377,6-10 yrs,31-45
16,100016,20,Male,Germany,3,27378.8,4,1,0,141229.07,0,53321.041,3-5 yrs,18-30
17,100017,39,Male,Germany,6,69535.53,3,1,1,61741.74,0,46337.433999999994,6-10 yrs,31-45
18,100018,19,Male,France,4,39534.5,2,1,1,63232.16,0,34783.948000000004,3-5 yrs,18-30
19,100019,41,Male,Germany,6,18168.26,1,1,1,77643.8,1,30560.744,6-10 yrs,31-45
20,100020,61,Male,France,7,57549.94,2,0,1,55006.22,0,39522.342000000004,6-10 yrs,61+
21,100021,47,Male,Spain,7,69534.58,1,1,1,108807.59,0,60456.40899999999,6-10 yrs,46-60
22,100022,55,Female,France,9,116631.29,2,1,0,68179.59,0,67106.79299999999,6-10 yrs,46-60
23,100023,19,Female,France,5,242315.75,2,1,1,56950.71,0,114012.013,3-5 yrs,18-30
24,100024,38,Male,France,4,235817.2,1,0,1,31862.1,0,103885.81000000001,3-5 yrs,31-45
25,100025,50,Female,Spain,10,188420.8,2,1,1,111854.99,0,108925.317,6-10 yrs,46-60
26,100026,29,Male,Spain,1,161627.86,4,1,0,90227.69,1,91720.251,0-2 yrs,18-30
27,100027,39,Female,France,7,236818.17,1,1,1,144715.99,0,138142.36500000002,6-10 yrs,31-45
28,100028,61,Male,Germany,4,35611.8,1,1,0,41799.86,0,26784.878,3-5 yrs,61+
29,100029,42,Male,France,7,82582.63,1,0,1,53136.55,0,48974.317,6-10 yrs,31-45
30,100030,66,Female,France,5,138331.8,2,0,1,136432.45,0,96262.955,3-5 yrs,61+
31,100031,44,Male,Germany,7,203483.54,2,1,1,147405.28,1,125615.5,6-10 yrs,31-45
32,100032,59,Female,France,0,155946.66,1,1,0,40616.54,1,74563.826,0-2 yrs,46-60
33,100033,45,Male,France,8,202217.3,3,0,1,37500.33,1,92137.71900000001,6-10 yrs,31-45
34,100034,33,Male,France,8,38268.76,1,1,1,144839.65,0,58759.69899999999,6-10 yrs,31-45
35,100035,32,Male,France,2,48183.71,1,1,0,145406.14,1,62895.526,0-2 yrs,31-45
36,100036,64,Male,Germany,4,185141.31,3,0,1,130055.17,0,113073.77500000002,3-5 yrs,61+
