CustomerID,Age,Gender,Geography,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
100000,56,Male,Spain,10,175263.44,3,1,0,34482.23,0
100001,69,Male,France,5,67048.76,2,1,1,103441.6,0
100002,46,Male,France,2,248232.69,2,1,0,121302.62,1
100003,32,Female,France,1,71457.14,1,1,1,28618.75,0
100004,60,Male,Spain,8,143721.98,2,0,0,94739.22,1
100005,25,Male,France,7,218088.86,1,1,1,29890.45,1
100006,38,Female,France,4,72296.53,1,1,1,54300.4,0
100007,56,Male,Spain,8,151626.33,1,1,0,51826.92,1
100008,36,Female,France,4,180003.67,1,1,0,137575.17,1
100009,40,Male,Spain,4,156677.66,1,1,1,48556.08,0
100010,28,Male,France,10,101491.23,2,1,1,52982.96,0
100011,28,Male,Germany,10,236188.72,1,1,1,76242.6,0
100012,41,Male,France,3,153077.49,1,1,1,31038.97,0
100013,53,Male,Germany,2,56090.06,1,1,0,69604.6,1
100014,57,Female,France,9,201532.31,3,1,1,96710.5,0
100015,41,Male,France,8,163969.59,2,1,1,40313.47,0
100016,20,Male,Germany,3,27378.8,4,1,0,141229.07,0
100017,39,Male,Germany,6,69535.53,3,1,1,61741.74,0
100018,19,Male,France,4,39534.5,2,1,1,63232.16,0
100019,41,Male,Germany,6,18168.26,1,1,1,77643.8,1
100020,61,Male,France,7,57549.94,2,0,1,55006.22,0
100021,47,Male,Spain,7,69534.58,1,1,1,108807.59,0
100022,55,Female,France,9,116631.29,2,1,0,68179.59,0
100023,19,Female,France,5,242315.75,2,1,1,56950.71,0
100024,38,Male,France,4,235817.2,1,0,1,31862.1,0
100025,50,Female,Spain,10,188420.8,2,1,1,111854.99,0
100026,29,Male,Spain,1,161627.86,4,1,0,90227.69,1
100027,39,Female,France,7,236818.17,1,1,1,144715.99,0
100028,61,Male,Germany,4,35611.8,1,1,0,41799.86,0
100029,42,Male,France,7,82582.63,1,0,1,53136.55,0
